prepare, 0.087796316
half, 0.17559263
year, 0.087796316
luckily, 0.26338893
perpetual, 0.17559263
branch, 0.087796316
without, 0.17559263
these, 0.087796316
properly, 0.087796316
depending, 0.087796316
would, 0.087796316
rank, 0.087796316
ten, 0.26338893
you, 0.43898156
addition, 0.087796316
ashamed, 0.17559263
happen, 0.087796316
sure, 0.087796316
agreement, 0.087796316
solid, 0.087796316
excited, 0.087796316
excellent, 0.087796316
agreeable, 0.087796316
preference, 0.087796316
active, 0.26338893
am, 0.6145742
an, 1.141352
easy, 0.087796316
whose, 0.17559263
as, 1.141352
at, 1.2291484
delay, 0.087796316
size, 0.087796316
reserved, 0.087796316
guest, 0.17559263
formed, 0.087796316
greatly, 0.087796316
brother, 0.087796316
shortly, 0.087796316
newspaper, 0.17559263
chapter, 0.087796316
be, 0.96575946
concluded, 0.087796316
unwilling, 0.26338893
least, 0.087796316
talking, 0.17559263
vanity, 0.087796316
procured, 0.087796316
how, 0.43898156
arrived, 0.087796316
see, 0.087796316
ferrars, 0.087796316
furnished, 0.17559263
by, 0.6145742
civil, 0.087796316
consisted, 0.087796316
after, 0.087796316
estimating, 0.087796316
hand, 0.087796316
resolved, 0.087796316
dashwood, 0.087796316
indulgence, 0.26338893
cultivated, 0.087796316
set, 0.087796316
address, 0.17559263
sex, 0.26338893
words, 0.087796316
acuteness, 0.087796316
lasted, 0.087796316
the, 0.26338893
admiration, 0.087796316
advantages, 0.087796316
frankness, 0.17559263
purse, 0.17559263
did, 0.35118526
bed, 0.35118526
offended, 0.087796316
sometimes, 0.087796316
stairs, 0.087796316
zealously, 0.17559263
do, 1.5803336
believing, 0.087796316
down, 0.087796316
good, 0.087796316
elinor, 0.087796316
smallness, 0.17559263
attacks, 0.087796316
cottage, 0.087796316
besides, 0.17559263
add, 0.7023705
need, 0.087796316
wrote, 0.087796316
exquisite, 0.35118526
shade, 0.087796316
its, 0.26338893
middleton, 0.26338893
article, 0.087796316
respect, 0.087796316
gone, 0.087796316
neglected, 0.087796316
she, 0.7023705
sang, 0.087796316
mutual, 0.17559263
immediate, 0.087796316
therefore, 0.087796316
projecting, 0.17559263
